Loan Amount,Credit Score,Property Value,Loan-to-Value Ratio,Loan Term (years),Employment Length,Location,Loan Type,Property Type,State,Interest Rate,Debt-To-Income DTI,Down Payment $,Income,Ocuppancy Type
232822,672,221585,0.571303145454866,40,10+ years,Urban,Adjustable,Townhouse,TX,3.41,41,42047,185219,Investment
294219,813,575845,0.6045776682895923,25,< 1 year,Urban,Adjustable,Single Family,TX,6.51,26,54252,208523,Investment
120574,806,324994,0.537994312992198,20,5-10 years,Suburban,Adjustable,Single Family,TX,6.97,29,47756,232709,Secondary
419103,754,218807,0.7693030085521825,30,10+ years,Suburban,Fixed,Single Family,FL,4.32,40,93413,314564,Secondary
384880,650,670724,0.5685938592655057,20,1-3 years,Suburban,Adjustable,Condo,CA,6.28,19,73956,169965,Investment
290721,679,425981,0.92300801616075,40,1-3 years,Urban,Adjustable,Condo,MI,2.15,31,77099,176161,Investment
376153,660,482257,0.8336494192539103,25,1-3 years,Rural,Fixed,Condo,OH,5.26,33,40849,163367,Secondary
249643,737,534527,0.5590071800539897,20,1-3 years,Rural,Adjustable,Multi Family,CA,6.91,35,45383,296977,Secondary
307329,753,327007,0.777560815926796,15,3-5 years,Suburban,Fixed,Condo,IL,9.06,33,37258,140499,Investment
342787,834,497154,0.953357386659407,25,< 1 year,Urban,Adjustable,Condo,GA,8.2,22,19549,183505,Secondary
322993,641,692857,0.7336096386215203,25,< 1 year,Suburban,Fixed,Single Family,CA,5.97,39,26716,309944,Investment
409215,710,402588,0.9339595698619862,20,5-10 years,Suburban,Adjustable,Multi Family,IL,8.07,47,52603,191891,Primary
466055,780,503735,0.6352658489813732,30,1-3 years,Suburban,Adjustable,Single Family,CA,5.06,38,98962,103362,Investment
258575,781,563180,0.7626670896699181,30,1-3 years,Rural,Adjustable,Single Family,PA,5.78,17,51433,313346,Primary
482284,735,266361,0.7618978187246396,40,1-3 years,Urban,Fixed,Single Family,TX,2.35,36,98104,142632,Secondary
207457,751,613634,0.5788654367613946,30,1-3 years,Urban,Adjustable,Townhouse,MI,6.14,49,17801,116219,Primary
195355,810,457862,0.9974667878898251,30,< 1 year,Urban,Adjustable,Multi Family,NC,6.03,24,30402,186449,Primary
186888,719,405911,0.6374088704641308,15,3-5 years,Rural,Fixed,Townhouse,NY,7.33,46,30549,166228,Investment
440318,717,640119,0.8594516585435183,30,10+ years,Suburban,Adjustable,Single Family,PA,4.39,44,76584,284176,Primary
281870,642,586603,0.5555759241664489,30,< 1 year,Rural,Fixed,Single Family,MI,3.1,28,43731,135901,Secondary
405566,746,222656,0.5382057797991462,20,1-3 years,Suburban,Adjustable,Single Family,PA,6.11,22,91129,294183,Investment
250599,749,553438,0.8063394360265942,30,5-10 years,Urban,Adjustable,Multi Family,PA,5.48,20,28857,117756,Investment
112287,844,623316,0.5455365761812923,25,3-5 years,Urban,Fixed,Multi Family,PA,7.41,46,97100,161297,Investment
353771,843,331158,0.5752392106484265,20,1-3 years,Suburban,Fixed,Multi Family,NC,8.54,21,68228,343146,Primary
194358,745,406542,0.5195186164183582,30,1-3 years,Rural,Fixed,Townhouse,TX,4.02,28,14684,308091,Secondary
400992,737,286734,0.6107673962380902,15,5-10 years,Urban,Adjustable,Townhouse,NC,7.47,21,56112,321287,Primary
410281,676,619756,0.9965321540349253,15,10+ years,Suburban,Fixed,Single Family,OH,8.82,35,60248,123143,Secondary
138178,813,504588,0.5559709690659687,15,< 1 year,Rural,Adjustable,Townhouse,MI,8.9,49,76463,124122,Secondary
225002,705,492611,0.8680085391077672,30,5-10 years,Suburban,Fixed,Single Family,TX,3.97,38,44762,200498,Investment
433681,743,453145,0.5296874554259758,30,10+ years,Rural,Fixed,Single Family,TX,5.01,24,27426,324177,Primary
143978,768,657878,0.908391667551389,15,3-5 years,Rural,Fixed,Condo,FL,9.69,18,39154,339701,Primary
455544,809,398895,0.9265299754987031,40,3-5 years,Suburban,Fixed,Single Family,FL,3.28,39,29781,101038,Primary
435435,778,353682,0.6556987493572921,20,1-3 years,Rural,Adjustable,Townhouse,IL,6.91,31,86758,111894,Primary
406381,647,385878,0.9504355719217462,25,10+ years,Urban,Adjustable,Townhouse,IL,5.48,32,12468,134678,Secondary
499405,822,442076,0.8601434540923023,15,< 1 year,Urban,Fixed,Multi Family,PA,8.48,34,96608,332165,Primary
182714,763,548183,0.87946502579925,40,5-10 years,Suburban,Fixed,Single Family,IL,4.09,24,99954,105390,Investment
238303,746,536838,0.6194663355173788,20,1-3 years,Suburban,Fixed,Multi Family,CA,7.6,19,51875,257243,Primary
293231,788,207112,0.8112858660675091,25,5-10 years,Suburban,Fixed,Single Family,CA,6.27,15,31291,176260,Primary
434620,699,560658,0.8306397634524901,15,3-5 years,Rural,Adjustable,Townhouse,PA,6.56,50,48444,337411,Secondary
121524,756,525599,0.6588323061502229,20,3-5 years,Suburban,Adjustable,Multi Family,NY,7.19,49,73284,205044,Investment
212582,670,423249,0.9229606093950443,25,1-3 years,Rural,Adjustable,Townhouse,MI,4.94,49,98238,339648,Primary
387740,806,619930,0.5524417896876777,40,5-10 years,Rural,Adjustable,Multi Family,IL,3.28,27,40475,324960,Primary
251807,646,508626,0.7374952893189265,20,10+ years,Urban,Adjustable,Single Family,OH,5.36,21,26848,256556,Secondary
407735,713,201603,0.6813019014221349,30,< 1 year,Rural,Adjustable,Multi Family,IL,5.33,11,50945,332699,Investment
218256,733,301917,0.7743237742411667,25,< 1 year,Urban,Fixed,Condo,IL,5.86,23,95636,321133,Investment
483120,703,614960,0.7255882996911722,40,1-3 years,Urban,Adjustable,Condo,OH,4.42,44,72357,212982,Investment
120003,813,233924,0.8501030461503489,40,5-10 years,Urban,Fixed,Multi Family,PA,4.53,12,60195,284223,Investment
403686,771,243901,0.5266575861360414,40,1-3 years,Rural,Fixed,Single Family,PA,2.63,14,60711,332890,Primary
286858,748,456814,0.9430440588890263,15,10+ years,Suburban,Adjustable,Single Family,NY,9.86,31,46969,169291,Investment
495026,640,332500,0.7968138450979496,20,10+ years,Suburban,Fixed,Condo,CA,5.56,24,30387,187089,Investment
289943,665,448027,0.7668410002877235,20,5-10 years,Suburban,Adjustable,Townhouse,NY,7.92,13,60109,121755,Secondary
327813,783,238415,0.9758241262894174,15,3-5 years,Urban,Adjustable,Condo,IL,9.79,37,71467,103010,Secondary
351955,735,307970,0.721523513619541,15,10+ years,Suburban,Fixed,Townhouse,NC,8.35,40,34291,313458,Investment
462020,676,370028,0.9744266582502314,15,10+ years,Urban,Adjustable,Single Family,OH,7.58,20,86654,156378,Secondary
312941,802,361463,0.648577099150321,15,< 1 year,Urban,Fixed,Townhouse,NY,8.55,33,69251,149643,Investment
481974,669,274529,0.5440888647909732,30,< 1 year,Suburban,Adjustable,Condo,GA,4.18,44,86066,104857,Primary
277958,768,670152,0.880209096871758,20,5-10 years,Rural,Fixed,Condo,OH,8.62,47,78318,149063,Primary
367734,758,294589,0.7107008776868611,20,5-10 years,Urban,Fixed,Condo,MI,7.27,12,53039,295573,Investment
418580,665,285571,0.9421694722514278,20,5-10 years,Urban,Adjustable,Multi Family,TX,6.13,20,68391,270908,Investment
479247,825,616304,0.604794606230563,15,5-10 years,Rural,Adjustable,Condo,NC,9.61,21,79220,279333,Secondary
133564,801,265811,0.8948590288473544,40,5-10 years,Rural,Adjustable,Single Family,NC,3.02,17,80258,335487,Secondary
498437,671,485071,0.7253200620499171,40,5-10 years,Suburban,Adjustable,Single Family,NC,1.5,42,90333,177315,Secondary
493247,732,431802,0.9453772825394866,25,10+ years,Urban,Fixed,Multi Family,MI,6.77,33,85290,281126,Secondary
392256,785,211423,0.6650015455271265,30,< 1 year,Rural,Adjustable,Single Family,CA,6.82,43,65192,346749,Investment
162300,729,683140,0.5865119080117481,25,5-10 years,Suburban,Adjustable,Single Family,NC,5.3,44,81783,242400,Primary
312951,748,682993,0.8783046902334769,20,1-3 years,Suburban,Fixed,Condo,NY,6.53,20,81928,113351,Investment
173146,670,276192,0.9135177747713327,25,1-3 years,Rural,Adjustable,Single Family,OH,6.66,21,78746,191752,Secondary
484679,845,278993,0.6754517427036433,25,5-10 years,Rural,Adjustable,Multi Family,MI,6.19,36,18889,155909,Secondary
357885,836,240202,0.5081011515996774,20,5-10 years,Urban,Fixed,Townhouse,NC,9.79,34,67249,269887,Secondary
322838,832,291746,0.8113780333690879,20,5-10 years,Suburban,Fixed,Condo,CA,8.02,44,81534,149787,Investment
497938,802,617580,0.8230355071095212,25,1-3 years,Rural,Adjustable,Condo,NY,8.08,39,54803,196159,Secondary
493867,680,605585,0.8707034006996243,15,< 1 year,Rural,Adjustable,Townhouse,MI,7.66,40,54186,211401,Investment
401219,643,606096,0.650257998317719,40,5-10 years,Suburban,Adjustable,Multi Family,MI,0.94,43,77872,230315,Primary
474951,783,599417,0.7399540109735816,30,< 1 year,Suburban,Fixed,Single Family,NC,6.26,29,45701,197090,Primary
408966,680,556047,0.624509377655232,40,3-5 years,Urban,Adjustable,Single Family,NY,3.93,31,39243,302725,Investment
361015,738,312601,0.8858347845583653,40,5-10 years,Suburban,Adjustable,Condo,OH,3.6,43,57492,307890,Primary
285096,694,623848,0.6808949907150083,15,10+ years,Urban,Adjustable,Multi Family,NY,9.33,48,75861,117800,Primary
313092,662,247694,0.8142776042567859,20,3-5 years,Suburban,Fixed,Townhouse,IL,6.21,21,54381,243444,Primary
140167,685,682857,0.8075811912413422,20,1-3 years,Suburban,Fixed,Condo,NY,6.4,11,91210,218086,Investment
450765,735,497005,0.7670032193882501,30,3-5 years,Rural,Fixed,Single Family,OH,5.35,26,79765,303807,Secondary
395057,673,350039,0.8766692822917328,30,5-10 years,Rural,Adjustable,Single Family,OH,3.6,10,73860,297298,Primary
130831,778,296096,0.9008613645790853,40,3-5 years,Urban,Adjustable,Single Family,GA,3.98,45,83832,162372,Secondary
382985,710,647028,0.9899344014976548,20,5-10 years,Urban,Adjustable,Multi Family,GA,7.17,19,17232,233502,Secondary
276628,811,490250,0.51852561358394,30,10+ years,Rural,Adjustable,Single Family,GA,4.74,30,40816,207218,Investment
308819,813,467006,0.8975670127764399,30,< 1 year,Suburban,Adjustable,Single Family,FL,6.81,13,75653,199096,Secondary
140299,654,610241,0.8082478332793366,20,< 1 year,Urban,Adjustable,Townhouse,NY,5.77,36,87847,301056,Primary
250597,652,284838,0.9735096073408247,40,3-5 years,Urban,Fixed,Multi Family,FL,2.6,24,15514,247260,Primary
100998,687,635940,0.6440952587135305,30,3-5 years,Suburban,Fixed,Multi Family,GA,4.86,17,52142,230745,Investment
248887,708,694101,0.7009431860692115,15,1-3 years,Rural,Adjustable,Condo,NY,7.36,50,20622,317787,Primary
363220,683,299192,0.9431014711441462,30,5-10 years,Rural,Fixed,Townhouse,PA,3.71,17,77534,247741,Primary
458873,771,290779,0.6578250290236187,30,3-5 years,Rural,Fixed,Single Family,FL,4.3,47,40737,145647,Investment
247012,697,483163,0.8932694495717287,15,3-5 years,Rural,Adjustable,Townhouse,TX,8.41,37,74943,312563,Primary
247116,646,320318,0.8384513979287673,15,3-5 years,Rural,Fixed,Single Family,CA,7.16,37,83452,148733,Investment
355721,738,646833,0.9999000086734326,25,3-5 years,Rural,Adjustable,Single Family,IL,5.32,16,76496,107113,Primary
287276,781,213100,0.7925223964843553,20,< 1 year,Suburban,Adjustable,Single Family,IL,7.51,27,29799,126908,Primary
450892,788,698819,0.8080323063953392,25,< 1 year,Rural,Adjustable,Single Family,IL,5.99,28,21051,233432,Secondary
141935,740,691779,0.5564924017586219,25,< 1 year,Urban,Fixed,Townhouse,NY,7.68,38,22980,332308,Investment
124623,772,483286,0.9961292188235207,30,5-10 years,Rural,Adjustable,Multi Family,IL,5.04,20,74592,234173,Investment
140232,835,293210,0.5290005661478032,40,1-3 years,Rural,Fixed,Townhouse,CA,3.38,38,71250,190154,Secondary
344581,741,508439,0.7310560936692232,40,5-10 years,Rural,Fixed,Multi Family,CA,1.9,28,37216,292146,Primary
416233,643,630107,0.5064111228706321,40,10+ years,Urban,Adjustable,Condo,NC,3.04,19,81851,178148,Investment
437845,725,207430,0.5598361115858258,20,3-5 years,Suburban,Adjustable,Townhouse,NY,8.21,43,25210,208138,Secondary
172190,847,451298,0.5284986102367264,40,10+ years,Urban,Adjustable,Condo,MI,2.96,15,42087,215477,Primary
135551,663,432443,0.9613425788256919,15,10+ years,Urban,Fixed,Single Family,NY,6.36,14,75275,180487,Primary
367821,743,240038,0.5001116221821945,20,5-10 years,Rural,Fixed,Condo,NC,6.96,44,61988,178818,Secondary
300464,844,522124,0.7384874799940736,25,5-10 years,Urban,Fixed,Single Family,IL,8.22,43,14449,110916,Primary
218735,750,517603,0.6827112867153147,30,10+ years,Urban,Adjustable,Condo,MI,4.67,21,94904,244442,Primary
314281,812,275110,0.8800537860700178,40,10+ years,Urban,Adjustable,Multi Family,CA,3.49,33,81223,113771,Primary
281783,690,514810,0.9835314598693556,30,10+ years,Rural,Fixed,Multi Family,OH,4.21,27,53004,135626,Secondary
441222,766,349438,0.8557667620885764,30,3-5 years,Rural,Adjustable,Condo,TX,4.18,11,64077,307295,Investment
375443,805,439848,0.7403893265980939,15,10+ years,Urban,Adjustable,Condo,CA,10.2,27,25757,129474,Secondary
401117,686,520609,0.795132590385141,30,< 1 year,Urban,Fixed,Single Family,IL,4.52,24,61630,170488,Investment
229561,737,578809,0.6745300260481673,20,< 1 year,Suburban,Adjustable,Townhouse,GA,5.96,22,81841,135245,Secondary
183267,698,208213,0.6087871257189976,40,5-10 years,Urban,Fixed,Condo,NY,3.44,34,30434,258536,Primary
423902,740,370549,0.9229656095356559,30,< 1 year,Urban,Fixed,Multi Family,GA,5.78,45,95630,294924,Primary
202686,682,551731,0.7080495981627247,15,3-5 years,Suburban,Fixed,Townhouse,GA,8.91,34,50468,296301,Primary
473563,848,617253,0.9215711063617041,15,10+ years,Rural,Adjustable,Single Family,PA,9.18,20,17575,153283,Investment
444068,702,626739,0.5894684972364145,15,5-10 years,Rural,Fixed,Multi Family,IL,8.45,11,94476,150259,Secondary
290871,788,697034,0.9690752104089144,40,< 1 year,Suburban,Adjustable,Multi Family,PA,5.21,14,88374,231509,Investment
274953,692,657596,0.8207761277642112,20,1-3 years,Rural,Adjustable,Single Family,GA,6.89,37,85144,306471,Investment
168582,707,524924,0.6835626765400138,30,< 1 year,Urban,Adjustable,Multi Family,TX,6.15,39,86822,220831,Primary
200949,807,445256,0.711530432324193,40,< 1 year,Rural,Fixed,Townhouse,CA,4.44,49,93481,289449,Secondary
293522,809,432338,0.8181523300183604,40,10+ years,Rural,Fixed,Multi Family,NC,4.78,13,44550,194251,Secondary
273203,777,478242,0.5953852825488275,40,1-3 years,Urban,Fixed,Condo,PA,5.19,13,89861,170487,Secondary
459905,803,683393,0.655979048012352,20,10+ years,Rural,Fixed,Single Family,CA,8.81,49,86758,297053,Investment
239017,656,523366,0.6642914629121386,20,1-3 years,Suburban,Fixed,Condo,CA,5.21,25,43847,310772,Secondary
490797,808,682345,0.9367170975444724,25,3-5 years,Rural,Fixed,Multi Family,CA,6.73,32,91168,130854,Secondary
381898,714,477439,0.5958945112688722,20,< 1 year,Rural,Fixed,Townhouse,FL,6.93,13,54543,107553,Secondary
184429,773,546716,0.5114511129505848,25,5-10 years,Urban,Adjustable,Townhouse,NC,6.17,37,87770,332815,Primary
158700,716,361951,0.968890300487762,20,5-10 years,Urban,Adjustable,Multi Family,TX,6.17,44,59848,164658,Secondary
113175,850,460940,0.570399722378254,40,3-5 years,Urban,Adjustable,Single Family,TX,3.75,17,97889,322845,Investment
370731,659,370476,0.6002402845604409,30,5-10 years,Rural,Fixed,Multi Family,GA,5.98,32,30023,193857,Primary
415359,785,377580,0.5489580749298021,30,5-10 years,Rural,Adjustable,Single Family,NC,7.08,24,43196,332930,Secondary
300132,813,478568,0.9024394476035116,40,10+ years,Rural,Fixed,Multi Family,NY,4.16,31,16029,323638,Secondary
108068,820,286541,0.5500325439246672,30,3-5 years,Urban,Adjustable,Multi Family,CA,6.59,45,57712,161916,Investment
309912,762,328529,0.7941151433640907,25,3-5 years,Suburban,Fixed,Condo,CA,6.15,41,95245,136424,Investment
370089,794,366153,0.5943272650234804,20,10+ years,Suburban,Fixed,Multi Family,GA,6.57,19,83820,134282,Primary
469042,731,674039,0.8953414441828759,40,< 1 year,Rural,Adjustable,Townhouse,NC,3.02,26,91573,308862,Primary
192760,724,309359,0.7512892337374166,15,3-5 years,Suburban,Fixed,Single Family,PA,7.82,15,46534,304106,Primary
452085,696,454353,0.5575446409401091,40,< 1 year,Urban,Adjustable,Single Family,NY,4.09,14,20076,322374,Investment
241706,703,498625,0.5281365832794905,40,5-10 years,Suburban,Adjustable,Townhouse,GA,2.36,42,77349,294030,Secondary
312687,727,589301,0.5287476310693671,30,< 1 year,Rural,Fixed,Townhouse,GA,6.17,10,72444,243385,Secondary
432165,722,534655,0.8492333179351891,25,3-5 years,Rural,Fixed,Condo,IL,6.58,22,79608,231687,Secondary
412098,766,513857,0.5154778487909757,25,3-5 years,Suburban,Adjustable,Townhouse,GA,5.94,29,30022,346041,Secondary
411871,801,380438,0.7433238398307831,20,5-10 years,Suburban,Fixed,Condo,FL,8.8,48,96262,338906,Primary
468042,710,266315,0.9380081555661358,30,5-10 years,Rural,Fixed,Townhouse,NC,3.96,13,65971,237932,Primary
185045,711,302678,0.7678523107683171,15,< 1 year,Rural,Fixed,Condo,OH,8.71,37,31687,325471,Primary
395023,832,413804,0.5517691399632261,20,3-5 years,Urban,Fixed,Single Family,GA,7.29,19,70205,133282,Primary
306569,656,382761,0.9602856705983349,25,< 1 year,Rural,Fixed,Condo,NC,5.13,13,43238,261347,Investment
275520,642,369214,0.9586809378446548,30,5-10 years,Rural,Adjustable,Townhouse,NC,4.72,44,52540,117068,Primary
197572,763,283411,0.8457510351235564,30,3-5 years,Rural,Fixed,Townhouse,FL,6.3,38,75400,229659,Secondary
492286,752,346437,0.9371198789893538,30,3-5 years,Suburban,Fixed,Condo,NY,4.2,37,83464,151286,Secondary
269657,793,301725,0.5199333454133556,15,10+ years,Urban,Fixed,Townhouse,IL,9.2,38,29126,207734,Secondary
463808,686,312692,0.730252932368785,20,1-3 years,Urban,Fixed,Single Family,IL,7.0,25,22686,314094,Primary
386425,736,605738,0.9619008500754846,40,3-5 years,Urban,Adjustable,Multi Family,PA,2.75,32,65783,339515,Primary
463386,742,660815,0.8689666249399685,25,1-3 years,Suburban,Adjustable,Single Family,MI,5.38,18,46100,308304,Investment
164521,802,601729,0.7865190485722371,15,10+ years,Urban,Adjustable,Multi Family,PA,8.49,20,30651,208901,Primary
338628,800,528101,0.8949019331260402,40,3-5 years,Rural,Adjustable,Single Family,OH,2.44,29,51139,322710,Secondary
234527,783,607885,0.9292648574982075,25,10+ years,Suburban,Adjustable,Townhouse,TX,6.26,26,66700,131827,Secondary
145025,674,353587,0.889288825502412,20,< 1 year,Suburban,Fixed,Single Family,CA,7.95,21,84553,240262,Secondary
210780,813,572052,0.710189585553759,25,10+ years,Urban,Fixed,Townhouse,MI,8.4,25,47978,163860,Investment
238480,713,532714,0.9654285077185929,30,< 1 year,Suburban,Fixed,Condo,NY,4.07,44,87921,228753,Secondary
239169,783,354490,0.8030923307420978,40,1-3 years,Suburban,Adjustable,Townhouse,NY,3.5,12,17488,117073,Secondary
137438,785,606816,0.6426290553169516,30,5-10 years,Suburban,Adjustable,Multi Family,CA,5.05,34,21744,342454,Secondary
281931,648,683757,0.699898443140125,25,3-5 years,Rural,Adjustable,Single Family,IL,5.15,45,46692,303242,Secondary
298352,761,407198,0.9604800613187094,20,3-5 years,Urban,Adjustable,Single Family,IL,6.64,24,45128,291997,Secondary
138990,659,335563,0.9342321958787732,40,1-3 years,Suburban,Fixed,Condo,OH,1.67,16,80342,230311,Primary
304921,663,496759,0.7688582197842171,30,10+ years,Rural,Adjustable,Multi Family,GA,4.02,27,81396,321422,Secondary
189936,733,318943,0.7313109612795858,15,< 1 year,Suburban,Fixed,Single Family,IL,8.57,50,12949,136552,Secondary
237770,807,218819,0.582505394284806,30,5-10 years,Urban,Adjustable,Condo,CA,7.05,18,73842,293991,Secondary
390067,792,673948,0.5607889441098151,40,10+ years,Suburban,Fixed,Multi Family,FL,3.56,36,55153,126120,Secondary
201839,839,406463,0.8176335736568964,20,< 1 year,Suburban,Adjustable,Condo,TX,9.05,16,20732,233208,Secondary
289907,794,244323,0.8700959548579716,20,3-5 years,Suburban,Fixed,Townhouse,CA,9.12,15,41540,340663,Primary
467323,769,649659,0.9715264180498997,30,3-5 years,Suburban,Fixed,Single Family,TX,4.22,37,21732,161869,Investment
277762,654,557362,0.883015338849901,40,3-5 years,Rural,Adjustable,Condo,IL,3.0,14,61472,319060,Secondary
287191,847,519464,0.600601200359167,15,1-3 years,Suburban,Adjustable,Multi Family,NC,7.97,21,27137,230125,Investment
229057,813,620688,0.8724323617086299,25,5-10 years,Rural,Adjustable,Multi Family,FL,8.33,35,64259,338231,Primary
215753,849,270724,0.7630880738866823,40,3-5 years,Urban,Adjustable,Single Family,PA,3.28,43,57215,243434,Investment
143696,844,443806,0.9639869207574479,40,1-3 years,Urban,Fixed,Single Family,GA,4.89,23,12322,118986,Primary
302629,642,676827,0.7024162840754196,30,3-5 years,Rural,Fixed,Single Family,IL,5.84,11,84479,306884,Primary
178698,706,595598,0.6178731830858607,40,10+ years,Suburban,Adjustable,Single Family,PA,3.49,15,86047,116147,Secondary
240220,642,546719,0.8313660241086636,25,< 1 year,Urban,Fixed,Townhouse,CA,4.26,46,55744,164923,Investment
425581,686,530193,0.6392124695473573,25,3-5 years,Suburban,Adjustable,Multi Family,MI,6.04,23,88362,344730,Primary
495864,661,399805,0.8483419194314776,30,1-3 years,Rural,Adjustable,Townhouse,MI,5.87,16,93347,214077,Investment
456551,841,385026,0.6941173506894547,40,3-5 years,Rural,Adjustable,Condo,PA,5.31,19,12445,176448,Primary
495129,736,221006,0.8800245131025324,30,3-5 years,Urban,Adjustable,Single Family,CA,3.89,45,28210,329236,Primary
407383,840,346588,0.6909395077194926,25,1-3 years,Urban,Adjustable,Single Family,CA,6.58,27,42410,199666,Primary
329580,843,317045,0.7971975605165849,20,3-5 years,Suburban,Fixed,Townhouse,IL,7.17,21,76352,298152,Secondary
172276,689,460215,0.5455352369772573,20,< 1 year,Rural,Fixed,Single Family,MI,5.47,47,36785,308618,Primary
244835,699,418744,0.8912188334628229,20,5-10 years,Rural,Adjustable,Condo,GA,5.86,47,40527,295121,Investment
423908,782,450645,0.5140921976955035,30,3-5 years,Urban,Fixed,Townhouse,GA,4.7,38,63715,123802,Secondary
440366,764,236933,0.7873042086053406,40,5-10 years,Rural,Adjustable,Single Family,IL,3.16,13,57706,233265,Primary
283266,725,459111,0.6170227294290556,20,1-3 years,Rural,Fixed,Townhouse,TX,8.33,36,66062,281542,Investment
146081,830,409299,0.8707842274314868,30,< 1 year,Rural,Adjustable,Condo,MI,4.91,16,81593,232712,Investment
147001,716,518294,0.5003253933953378,25,3-5 years,Urban,Fixed,Condo,CA,7.46,27,52866,286650,Secondary
481683,719,439940,0.8010667022870301,30,< 1 year,Urban,Adjustable,Townhouse,CA,4.76,49,31949,272762,Secondary
429009,679,651559,0.779789711890861,25,3-5 years,Urban,Adjustable,Condo,IL,5.77,41,67759,110027,Primary
382179,732,553306,0.5212744510634668,25,5-10 years,Suburban,Fixed,Condo,NY,7.31,20,21126,268520,Investment
150909,817,330917,0.9084013146153755,40,10+ years,Rural,Fixed,Condo,PA,4.32,24,54213,264827,Primary
307446,735,504027,0.9387704713444501,40,1-3 years,Suburban,Adjustable,Condo,TX,3.19,38,95820,338210,Primary
208237,644,686449,0.7834811884421606,30,10+ years,Rural,Fixed,Condo,TX,4.52,30,63006,162149,Secondary
432038,716,242225,0.8451160861535855,25,< 1 year,Urban,Fixed,Single Family,NC,6.85,17,74121,321728,Primary
373795,802,249110,0.5790075028808667,15,< 1 year,Urban,Adjustable,Condo,MI,10.15,33,38216,114909,Secondary
436920,722,642731,0.9547026847622271,25,< 1 year,Rural,Fixed,Multi Family,TX,5.9,35,90640,296190,Secondary
212961,669,288008,0.9033722457495161,20,< 1 year,Suburban,Fixed,Condo,GA,6.18,22,14464,195926,Primary
373638,783,281561,0.6149175122305341,25,5-10 years,Suburban,Fixed,Townhouse,NY,7.29,26,53374,142836,Investment
135456,812,376235,0.8378617882341282,30,10+ years,Suburban,Adjustable,Townhouse,IL,6.09,39,17892,322216,Primary
318285,837,402824,0.5572040117103693,20,3-5 years,Rural,Adjustable,Townhouse,TX,8.22,46,74150,223939,Secondary
113956,640,278289,0.9793803840029176,20,1-3 years,Urban,Fixed,Multi Family,NY,7.55,50,63936,137068,Investment
116908,719,351607,0.6563766893962508,40,3-5 years,Suburban,Fixed,Condo,GA,1.68,38,94580,133254,Secondary
383669,798,560205,0.8138586457343492,20,10+ years,Urban,Fixed,Single Family,TX,6.45,22,66281,212812,Secondary
360427,646,457930,0.7343500943172937,25,5-10 years,Suburban,Adjustable,Townhouse,NY,4.18,23,97760,198831,Secondary
302071,730,236529,0.9884403761115166,30,1-3 years,Rural,Fixed,Condo,FL,6.49,39,15281,349853,Primary
378528,787,607213,0.6018046821480065,20,< 1 year,Rural,Adjustable,Single Family,NY,8.51,27,66941,228312,Primary
157335,736,434209,0.8858281773869603,40,5-10 years,Rural,Fixed,Condo,FL,3.63,44,59529,109324,Investment
494738,824,673710,0.7145839802841074,20,1-3 years,Suburban,Adjustable,Condo,PA,6.87,48,80886,172876,Secondary
466998,740,571344,0.5303466018378137,20,1-3 years,Suburban,Fixed,Condo,FL,6.45,14,62497,246644,Secondary
479968,744,649988,0.6206999005188005,30,5-10 years,Suburban,Adjustable,Condo,IL,6.81,49,48173,303735,Secondary
395796,654,426874,0.8449782598304239,20,< 1 year,Urban,Fixed,Townhouse,PA,7.93,42,75405,240599,Investment
232403,827,529327,0.5579340636261819,40,1-3 years,Urban,Adjustable,Condo,TX,3.97,40,19240,172541,Secondary
322972,740,254850,0.8361453108134616,40,5-10 years,Rural,Adjustable,Townhouse,OH,3.99,17,76312,162412,Primary
217779,695,528501,0.695031084047397,25,< 1 year,Suburban,Fixed,Condo,MI,4.63,17,70812,191793,Secondary
119289,822,311071,0.7967348520121116,25,3-5 years,Rural,Adjustable,Condo,TX,6.03,22,96662,148724,Investment
129798,769,606546,0.8313271631210577,30,5-10 years,Rural,Adjustable,Townhouse,MI,5.07,11,92088,235448,Primary
252600,660,309266,0.7616738920652495,20,10+ years,Rural,Fixed,Multi Family,MI,7.15,28,46787,101876,Investment
387963,714,479687,0.9382579657525538,20,< 1 year,Suburban,Fixed,Condo,MI,7.03,25,69418,211845,Investment
105164,734,614392,0.6975439116374045,25,10+ years,Rural,Fixed,Condo,CA,6.9,11,31430,135544,Investment
374917,648,269854,0.6177980976308743,25,5-10 years,Rural,Adjustable,Condo,MI,4.9,23,80714,132601,Investment
252705,717,396935,0.617950412570383,15,3-5 years,Suburban,Fixed,Single Family,CA,7.54,43,76282,143384,Secondary
444178,747,646780,0.5621883562855559,15,3-5 years,Rural,Adjustable,Condo,TX,8.54,27,21825,221360,Secondary
464739,784,200213,0.8334800390492946,40,1-3 years,Rural,Adjustable,Single Family,NC,5.22,33,83820,240617,Primary
355300,656,432103,0.7455374717975629,30,1-3 years,Rural,Adjustable,Single Family,CA,3.93,47,47319,234886,Primary
344306,701,506770,0.8276833694240142,40,10+ years,Rural,Fixed,Condo,GA,2.53,49,75752,329563,Primary
100693,788,327806,0.6978058087007405,15,10+ years,Rural,Adjustable,Townhouse,CA,10.12,34,83289,113113,Investment
457564,836,401142,0.5449285211832734,40,10+ years,Suburban,Adjustable,Condo,FL,3.82,13,43818,171307,Primary
