Loan Amount,Credit Score,Property Value,Loan-to-Value Ratio,Loan Term (years),Employment Length,Location,Loan Type,Property Type,State,Interest Rate,Debt-To-Income DTI,Down Payment $,Income,Ocuppancy Type
231286,842,677438,0.7462492390876663,15,3-5 years,Rural,Adjustable,Townhouse,TX,10.09,20,36665,120815,Secondary
369971,711,572523,0.9287524885860279,40,10+ years,Urban,Fixed,Multi Family,PA,3.45,13,14698,205422,Secondary
242451,786,556233,0.664257119023248,30,3-5 years,Suburban,Fixed,Townhouse,IL,5.32,50,71774,165225,Investment
204102,649,576016,0.851216228922649,40,5-10 years,Urban,Adjustable,Single Family,TX,2.3,33,42714,159677,Secondary
418533,725,207075,0.9539699029005771,15,< 1 year,Suburban,Fixed,Townhouse,OH,8.23,15,91958,255393,Secondary
187213,810,524321,0.757287693753966,30,1-3 years,Suburban,Fixed,Multi Family,CA,6.01,19,39800,282931,Secondary
411171,711,314006,0.7144752177624536,40,3-5 years,Urban,Adjustable,Multi Family,PA,4.19,47,56805,141190,Primary
345189,680,338422,0.958471961019567,15,5-10 years,Urban,Adjustable,Multi Family,OH,8.25,28,77791,175127,Secondary
379116,847,656253,0.6266552029453142,40,1-3 years,Rural,Fixed,Multi Family,CA,4.55,17,91313,229644,Secondary
289796,706,410820,0.6751672425832278,30,< 1 year,Suburban,Adjustable,Condo,MI,3.98,28,58236,327253,Primary
180477,847,439987,0.6828169794647091,15,10+ years,Rural,Adjustable,Townhouse,NC,7.9,50,41900,327586,Secondary
310498,648,212508,0.8112232102142134,15,5-10 years,Suburban,Adjustable,Multi Family,NC,8.86,15,42576,109262,Secondary
294054,819,483058,0.7026420122016175,25,< 1 year,Rural,Adjustable,Townhouse,OH,6.99,12,66127,160442,Primary
222712,785,231137,0.5616237240382038,40,10+ years,Suburban,Fixed,Townhouse,PA,2.88,39,90914,222665,Secondary
283137,788,450880,0.5215512210357875,15,< 1 year,Rural,Fixed,Townhouse,NY,8.99,13,17727,192803,Secondary
100067,842,612272,0.9395711449932214,30,1-3 years,Rural,Adjustable,Condo,TX,5.86,23,61607,306154,Investment
152476,738,684798,0.8482040493658243,30,< 1 year,Rural,Adjustable,Condo,NY,5.15,12,56217,197364,Investment
416996,841,549496,0.9115914910315359,25,5-10 years,Urban,Fixed,Condo,OH,6.49,14,81545,194458,Investment
371458,756,512169,0.9300435180516406,25,< 1 year,Suburban,Fixed,Townhouse,TX,5.1,15,46194,276307,Investment
269938,701,551583,0.8758097756093656,40,< 1 year,Urban,Adjustable,Single Family,TX,3.56,36,97931,294610,Secondary
178630,730,489822,0.8283616094523125,30,5-10 years,Suburban,Adjustable,Single Family,TX,5.65,36,25918,296379,Investment
111538,826,562661,0.510365763797451,40,10+ years,Suburban,Fixed,Multi Family,FL,3.94,38,80164,109776,Primary
161417,680,628295,0.8727411903069434,25,10+ years,Urban,Adjustable,Single Family,GA,6.3,26,60149,348076,Primary
443776,681,384942,0.8575042180608216,20,3-5 years,Urban,Fixed,Single Family,CA,5.23,21,52228,290698,Primary
327688,759,380178,0.9127493250788755,15,3-5 years,Rural,Fixed,Condo,FL,9.95,36,86049,128458,Primary
275123,650,389027,0.6962043626387229,20,< 1 year,Urban,Adjustable,Townhouse,GA,4.98,14,51715,244014,Investment
455023,640,408079,0.676959080188196,20,< 1 year,Suburban,Adjustable,Townhouse,OH,7.45,24,55129,291121,Primary
318664,646,425800,0.5870521240653598,40,3-5 years,Urban,Adjustable,Condo,CA,2.01,40,92049,340042,Secondary
461362,684,469833,0.7603049455088478,15,< 1 year,Suburban,Fixed,Townhouse,GA,8.86,10,22365,103057,Investment
432449,764,390048,0.8991828824869732,30,10+ years,Rural,Adjustable,Single Family,OH,6.11,33,79204,156527,Investment
238998,737,684774,0.7472799969136901,25,3-5 years,Suburban,Adjustable,Single Family,MI,6.89,26,56398,286360,Investment
421253,744,567463,0.545784714793593,30,5-10 years,Suburban,Adjustable,Single Family,FL,4.2,27,21024,305134,Investment
210153,703,465719,0.761385262026308,25,10+ years,Suburban,Adjustable,Condo,CA,7.41,42,11045,103724,Primary
453734,788,440140,0.5129350058343372,20,3-5 years,Suburban,Fixed,Single Family,MI,7.63,16,23615,239305,Investment
156179,849,216099,0.9391564865119435,30,5-10 years,Suburban,Fixed,Multi Family,OH,7.49,11,42893,304046,Primary
227830,826,417118,0.8594893345284609,40,< 1 year,Rural,Fixed,Multi Family,TX,4.92,12,48573,190118,Secondary
385404,647,495392,0.9566474631820088,30,3-5 years,Urban,Adjustable,Condo,NC,4.17,39,98202,153777,Secondary
465023,681,691634,0.6024017529679866,20,5-10 years,Urban,Adjustable,Multi Family,IL,7.91,28,42311,123372,Investment
236461,649,487832,0.721305500933797,20,10+ years,Rural,Adjustable,Single Family,NY,4.92,23,81372,174188,Primary
142013,831,231436,0.7561993017126161,15,3-5 years,Rural,Fixed,Single Family,NY,9.09,42,11002,340701,Investment
490854,809,488871,0.591594597232832,20,1-3 years,Urban,Fixed,Townhouse,TX,8.97,47,53525,296034,Secondary
415117,718,550227,0.70494798381204,20,3-5 years,Rural,Fixed,Condo,GA,8.54,49,91594,179637,Secondary
449406,659,438292,0.9573258854312297,15,1-3 years,Urban,Fixed,Townhouse,NC,8.72,30,32751,121574,Secondary
155249,708,219791,0.7370686167329927,40,< 1 year,Suburban,Adjustable,Multi Family,PA,2.03,35,42061,338567,Secondary
303830,699,248639,0.9460565530628977,40,3-5 years,Suburban,Adjustable,Single Family,NY,2.57,36,68350,229012,Investment
121192,728,361992,0.7743329052521654,15,< 1 year,Rural,Fixed,Townhouse,FL,7.67,14,49652,246682,Investment
367715,691,699546,0.8162666830803074,20,5-10 years,Urban,Fixed,Condo,CA,7.69,42,16169,170658,Investment
485508,754,464099,0.9551689833629009,25,10+ years,Suburban,Adjustable,Single Family,NY,7.33,48,63140,184212,Investment
177960,773,652098,0.6736980211313419,40,1-3 years,Rural,Adjustable,Multi Family,TX,4.88,16,77005,306288,Primary
333140,809,377622,0.6428247252242663,15,3-5 years,Suburban,Fixed,Multi Family,OH,8.28,43,34256,303415,Secondary
310132,760,437264,0.8048714991957038,15,10+ years,Suburban,Fixed,Multi Family,CA,9.21,12,88192,170727,Secondary
244879,772,510210,0.7993493083120988,40,< 1 year,Rural,Adjustable,Condo,FL,4.12,42,67191,316319,Primary
288835,800,228434,0.828740024521289,30,5-10 years,Urban,Adjustable,Single Family,FL,4.75,29,22108,220355,Secondary
264588,707,647943,0.778430127867698,30,< 1 year,Urban,Fixed,Townhouse,TX,3.84,20,96676,267438,Secondary
482202,745,540911,0.8279601169338467,30,< 1 year,Urban,Fixed,Multi Family,NY,4.18,31,21603,284439,Investment
486174,684,526827,0.5198018891202115,15,1-3 years,Suburban,Fixed,Condo,CA,7.57,42,44015,209380,Primary
334788,714,593668,0.7377262348312975,20,3-5 years,Urban,Adjustable,Condo,NY,7.79,40,27922,107389,Investment
276440,783,517588,0.6490246213172477,40,3-5 years,Rural,Adjustable,Townhouse,MI,3.7,16,53228,213486,Investment
359908,840,299644,0.8223256166067234,40,10+ years,Urban,Adjustable,Townhouse,TX,3.82,22,91726,164421,Primary
239759,798,280388,0.7525611004229102,30,1-3 years,Urban,Fixed,Multi Family,OH,5.78,25,19996,206476,Investment
395566,826,233363,0.6592154031587623,25,5-10 years,Urban,Adjustable,Townhouse,MI,8.6,42,78495,188033,Secondary
132988,717,380088,0.6403839558974341,25,3-5 years,Suburban,Adjustable,Single Family,OH,5.49,35,28947,326240,Primary
285755,762,401396,0.5813089271107599,40,10+ years,Urban,Adjustable,Condo,TX,2.41,22,87840,225163,Investment
406697,745,237997,0.5655823004432661,20,5-10 years,Urban,Adjustable,Multi Family,GA,7.33,45,90905,127263,Secondary
364057,748,329797,0.9645287821617916,40,< 1 year,Rural,Fixed,Multi Family,GA,3.77,15,20856,167862,Secondary
122653,655,590841,0.708710702092979,20,5-10 years,Urban,Adjustable,Single Family,FL,7.5,32,89204,214138,Primary
289338,789,458589,0.8281785570329911,40,1-3 years,Suburban,Fixed,Multi Family,NC,4.89,14,32893,206516,Primary
477064,834,289295,0.514222466881312,15,1-3 years,Urban,Adjustable,Townhouse,OH,9.73,24,12466,306905,Secondary
157786,645,481891,0.5051943112766208,25,1-3 years,Suburban,Adjustable,Condo,PA,5.11,37,23283,305170,Primary
300891,668,496118,0.7561753165779842,30,3-5 years,Rural,Fixed,Condo,GA,5.93,33,22899,158613,Secondary
204591,711,218337,0.6615833382566929,25,5-10 years,Rural,Adjustable,Townhouse,FL,6.47,19,81426,223715,Investment
115439,679,348949,0.5989197038621826,25,< 1 year,Suburban,Adjustable,Condo,MI,6.72,42,89237,311434,Secondary
285597,725,463927,0.6645749666475252,30,3-5 years,Urban,Fixed,Multi Family,IL,4.75,28,11620,174193,Primary
300593,780,272559,0.7901120228946763,30,3-5 years,Rural,Fixed,Single Family,FL,5.1,22,75810,122601,Secondary
464002,832,380033,0.9638511037075121,40,3-5 years,Urban,Fixed,Townhouse,IL,4.63,43,41851,191237,Investment
414101,774,488568,0.7490199965461936,30,1-3 years,Urban,Adjustable,Single Family,NY,6.97,36,46851,342637,Secondary
134613,716,669680,0.9399605235340482,30,5-10 years,Suburban,Fixed,Townhouse,OH,4.5,43,45088,301195,Secondary
218898,751,250628,0.9703948737717014,30,10+ years,Rural,Adjustable,Townhouse,GA,4.88,27,33979,334165,Primary
346808,849,603926,0.9957225192310741,40,3-5 years,Suburban,Fixed,Single Family,NC,5.22,30,27899,283201,Investment
160985,776,636155,0.9964915199742681,30,5-10 years,Urban,Fixed,Multi Family,TX,5.67,46,40782,340004,Primary
200787,754,649198,0.9094344084732265,25,5-10 years,Urban,Fixed,Townhouse,NC,7.23,27,69320,155412,Primary
128531,708,331610,0.6934865880876228,20,10+ years,Urban,Fixed,Townhouse,PA,7.3,39,62073,114525,Primary
310564,664,243329,0.7961252695417887,15,3-5 years,Rural,Adjustable,Multi Family,MI,7.46,36,48996,331469,Secondary
330277,803,394222,0.8689202906573186,30,5-10 years,Urban,Adjustable,Multi Family,PA,5.24,43,55926,253898,Secondary
233197,679,627437,0.5460642824197517,30,1-3 years,Rural,Adjustable,Townhouse,FL,5.21,39,28908,258868,Secondary
495401,783,347495,0.5442974375144012,25,10+ years,Rural,Adjustable,Single Family,PA,7.35,37,46569,216512,Primary
390112,727,266984,0.900686732467826,40,10+ years,Suburban,Fixed,Single Family,OH,3.64,15,15235,269877,Investment
311057,711,682602,0.9833289032306463,25,10+ years,Urban,Adjustable,Townhouse,NY,6.13,30,36378,139655,Secondary
145096,789,473243,0.5401043555077296,40,3-5 years,Rural,Fixed,Multi Family,OH,3.57,13,50062,334386,Secondary
115208,714,483512,0.9611595026489141,25,3-5 years,Urban,Fixed,Townhouse,MI,4.72,30,75345,157587,Investment
465069,803,587285,0.7973391320166738,30,< 1 year,Rural,Fixed,Single Family,PA,4.9,29,15287,113349,Secondary
324431,843,235906,0.6070265573698386,30,< 1 year,Urban,Adjustable,Single Family,IL,7.53,46,88937,242339,Secondary
256356,731,556925,0.9386694723494153,40,3-5 years,Urban,Fixed,Multi Family,OH,3.56,44,40664,342953,Investment
433118,803,595021,0.7614765222724726,25,10+ years,Suburban,Adjustable,Townhouse,CA,8.27,45,91379,190789,Primary
162693,666,276506,0.8080162738288603,20,1-3 years,Suburban,Fixed,Condo,GA,7.93,27,16567,288916,Primary
473775,710,384940,0.9983322591488675,30,< 1 year,Rural,Fixed,Multi Family,CA,5.89,12,98401,304012,Secondary
165852,826,316691,0.792004985131388,30,< 1 year,Suburban,Adjustable,Single Family,MI,6.49,43,39057,317163,Primary
338022,785,461859,0.7679288567023994,15,1-3 years,Rural,Adjustable,Multi Family,GA,8.19,10,24734,197398,Secondary
250113,808,575650,0.9165464599056645,30,5-10 years,Urban,Adjustable,Single Family,MI,7.47,48,16813,206774,Primary
222351,811,553937,0.7497517258786086,15,3-5 years,Suburban,Adjustable,Multi Family,CA,9.38,45,90734,111358,Primary
320926,841,307076,0.8298469597267206,20,5-10 years,Urban,Adjustable,Multi Family,OH,6.98,32,73447,136088,Secondary
139354,802,360181,0.6612377824057094,40,10+ years,Urban,Adjustable,Multi Family,GA,4.76,24,62120,101762,Primary
108730,766,281310,0.8238571527243259,30,< 1 year,Urban,Adjustable,Multi Family,GA,5.26,41,22486,187080,Primary
175298,769,448954,0.6590133162496441,20,1-3 years,Suburban,Adjustable,Multi Family,GA,8.91,44,15075,218894,Secondary
211163,691,442034,0.7253076287201234,30,10+ years,Suburban,Adjustable,Single Family,FL,6.26,47,88148,298777,Primary
472419,681,339575,0.8793431941374643,20,10+ years,Suburban,Fixed,Single Family,TX,6.04,20,18395,165951,Investment
481996,724,315059,0.5188396074222064,40,5-10 years,Urban,Fixed,Townhouse,NC,3.21,41,26197,196819,Primary
295347,848,381092,0.7780135074579753,15,< 1 year,Urban,Adjustable,Multi Family,OH,10.88,46,94287,109607,Secondary
498987,726,480899,0.690333063024536,15,3-5 years,Suburban,Fixed,Single Family,IL,8.33,30,61269,143948,Primary
137979,727,418272,0.6370321492813799,20,< 1 year,Rural,Fixed,Multi Family,NC,8.67,38,96332,244369,Primary
499503,657,373529,0.7003721536500902,25,10+ years,Suburban,Fixed,Condo,GA,5.14,46,36162,315957,Secondary
448409,775,559235,0.9835057868117445,15,10+ years,Suburban,Adjustable,Multi Family,IL,7.9,49,15443,102620,Investment
352871,662,308067,0.5376435458706911,20,3-5 years,Suburban,Adjustable,Townhouse,GA,6.08,12,37368,100008,Investment
111902,679,357080,0.9721802110176414,30,3-5 years,Urban,Fixed,Townhouse,FL,3.65,29,61320,115369,Investment
359903,799,241470,0.84367697544815,40,< 1 year,Rural,Adjustable,Multi Family,NY,5.23,35,89512,135021,Investment
122501,782,478050,0.9989051492126177,25,5-10 years,Urban,Fixed,Condo,MI,6.84,20,27862,243962,Primary
372422,762,672309,0.6754815750984604,15,3-5 years,Suburban,Fixed,Condo,IL,7.92,32,37542,277750,Secondary
474509,823,692859,0.714148040207663,40,5-10 years,Urban,Adjustable,Condo,OH,3.43,14,68650,114384,Primary
396485,699,257564,0.6781443380182738,30,1-3 years,Suburban,Adjustable,Single Family,CA,4.84,24,16820,194799,Primary
414268,842,254423,0.7892117225773201,20,3-5 years,Rural,Adjustable,Single Family,GA,8.01,34,97047,116333,Secondary
169864,737,249397,0.601994019180812,40,3-5 years,Suburban,Fixed,Single Family,FL,3.66,18,36177,313440,Investment
316868,764,216432,0.9818963725571028,20,3-5 years,Rural,Adjustable,Condo,PA,6.06,47,77630,138082,Secondary
185659,683,654192,0.5635832160810622,15,< 1 year,Urban,Fixed,Multi Family,IL,7.14,25,49735,185122,Investment
480020,774,445121,0.8224800518820601,25,3-5 years,Urban,Adjustable,Multi Family,NC,7.59,44,86945,252947,Primary
386867,725,684911,0.7772481546340965,40,< 1 year,Suburban,Fixed,Townhouse,MI,3.75,49,13844,186410,Primary
393832,824,569424,0.9466695953287072,20,5-10 years,Rural,Fixed,Condo,PA,6.84,18,16005,122992,Secondary
394280,814,356965,0.7888075140483748,15,< 1 year,Suburban,Fixed,Multi Family,NC,10.28,43,32054,189887,Primary
289763,783,279612,0.5546846906321488,25,10+ years,Suburban,Fixed,Townhouse,MI,6.0,50,32122,191270,Secondary
358327,729,674268,0.6447687668113407,25,3-5 years,Suburban,Adjustable,Single Family,PA,6.46,21,70018,264225,Primary
167762,655,482334,0.7141968341133462,40,10+ years,Suburban,Adjustable,Townhouse,NC,3.15,48,13003,295614,Primary
156050,785,460776,0.844398692863038,40,1-3 years,Urban,Adjustable,Single Family,MI,4.32,11,44714,208902,Investment
272399,769,477027,0.5492480964860256,30,5-10 years,Urban,Fixed,Multi Family,PA,5.73,21,89001,296182,Primary
205533,847,633764,0.6455402043950922,20,10+ years,Urban,Adjustable,Single Family,IL,7.75,13,55815,235598,Primary
278917,728,619018,0.6313474499639484,40,< 1 year,Rural,Adjustable,Townhouse,NC,1.79,37,52101,255067,Investment
390132,692,653701,0.5624755684265353,25,10+ years,Suburban,Fixed,Multi Family,NY,5.81,31,14846,179866,Investment
430096,652,267048,0.6997202336063326,15,1-3 years,Rural,Adjustable,Single Family,IL,7.15,18,93857,266797,Primary
117410,736,436305,0.9432123671084685,40,< 1 year,Rural,Adjustable,Townhouse,PA,3.85,36,28662,170932,Primary
249479,744,627791,0.6262574864071135,40,10+ years,Urban,Fixed,Single Family,TX,3.36,21,23872,267339,Investment
328232,703,634655,0.6181128787408683,25,5-10 years,Suburban,Fixed,Multi Family,MI,4.53,16,93509,197908,Investment
433779,812,619117,0.6348494153065297,20,1-3 years,Suburban,Fixed,Single Family,PA,7.38,50,32845,118711,Primary
247405,684,415247,0.7936840593184933,30,3-5 years,Rural,Fixed,Condo,TX,3.48,49,86133,164488,Primary
327410,781,239468,0.8180407526769848,20,10+ years,Urban,Fixed,Multi Family,NC,8.03,37,44954,257838,Primary
326380,743,492058,0.5430813404546668,20,1-3 years,Rural,Adjustable,Single Family,NY,6.55,44,31234,302991,Secondary
170631,823,526146,0.7997580871164168,40,10+ years,Urban,Adjustable,Condo,CA,3.91,30,50884,189260,Primary
127585,754,274356,0.9934695481881588,25,1-3 years,Rural,Adjustable,Condo,CA,5.96,34,69375,271257,Investment
478686,783,418164,0.5695425366421322,20,5-10 years,Rural,Fixed,Condo,MI,6.5,11,97619,110381,Secondary
162219,770,458619,0.5046842564875159,40,10+ years,Rural,Fixed,Townhouse,NC,5.02,21,23589,267209,Secondary
496030,718,321822,0.6406693529939465,40,10+ years,Suburban,Fixed,Multi Family,GA,4.01,40,11361,261718,Secondary
285849,699,476807,0.9565905300885886,40,1-3 years,Suburban,Adjustable,Townhouse,CA,2.37,16,49774,293302,Primary
165237,680,674682,0.9906930033559413,30,< 1 year,Suburban,Adjustable,Multi Family,OH,4.72,27,54138,213164,Investment
269325,724,372484,0.9318737000795769,25,< 1 year,Suburban,Fixed,Townhouse,IL,6.06,15,72042,143518,Investment
229088,823,690462,0.5526220424276054,40,< 1 year,Suburban,Adjustable,Condo,GA,4.29,26,34853,269195,Secondary
341172,751,589413,0.8544145672530989,30,5-10 years,Urban,Adjustable,Condo,FL,5.28,48,38481,299204,Primary
316324,763,271317,0.7696197032210876,25,5-10 years,Urban,Fixed,Condo,OH,6.77,10,86837,268799,Investment
465776,737,263873,0.7268009699486798,40,3-5 years,Urban,Fixed,Condo,IL,4.19,49,99660,196471,Investment
462047,772,541189,0.9470337524009802,30,5-10 years,Urban,Fixed,Condo,CA,5.53,28,29369,303683,Secondary
106910,664,490657,0.7159345247247212,15,5-10 years,Rural,Fixed,Townhouse,CA,6.43,50,76376,319362,Investment
233046,767,521568,0.6776122329490059,25,3-5 years,Rural,Fixed,Townhouse,PA,7.15,43,97984,155942,Investment
419473,674,349653,0.641488348639824,20,10+ years,Suburban,Fixed,Condo,TX,6.37,11,85529,254158,Primary
154424,795,498591,0.5881003348924185,20,10+ years,Urban,Fixed,Single Family,NY,7.74,12,76104,298481,Primary
113086,680,556733,0.7760220990066373,30,5-10 years,Rural,Adjustable,Multi Family,NC,5.15,36,31701,219722,Investment
105850,823,623812,0.8796664199174407,40,3-5 years,Rural,Adjustable,Multi Family,CA,4.54,31,58616,327388,Primary
139599,737,511404,0.5015121367782647,20,3-5 years,Suburban,Adjustable,Townhouse,GA,7.1,20,86203,113631,Investment
465850,703,688735,0.6009490733273366,30,10+ years,Rural,Adjustable,Multi Family,IL,4.2,13,53639,134823,Investment
293082,805,468172,0.7351713232378263,30,< 1 year,Rural,Fixed,Townhouse,FL,7.34,31,26232,188214,Primary
281983,849,368417,0.5519119266799193,40,10+ years,Urban,Fixed,Single Family,OH,5.11,44,48582,288975,Investment
121633,798,304721,0.5761190962755731,30,1-3 years,Rural,Fixed,Multi Family,PA,6.0,10,69071,296884,Secondary
498384,688,523570,0.6968902885725029,15,3-5 years,Urban,Fixed,Single Family,FL,6.87,13,44293,291431,Investment
458015,795,358068,0.554859336396851,25,3-5 years,Rural,Adjustable,Multi Family,PA,7.52,48,30091,251985,Primary
496483,731,577726,0.8371757600621175,20,10+ years,Urban,Fixed,Townhouse,IL,6.47,37,25323,153727,Secondary
459677,801,584372,0.6344538076359776,15,5-10 years,Rural,Adjustable,Townhouse,CA,9.62,15,64797,315253,Secondary
159990,823,427340,0.6246414075211763,30,< 1 year,Urban,Adjustable,Multi Family,PA,5.23,15,68380,341157,Primary
182439,716,679516,0.7717361374318449,25,1-3 years,Suburban,Adjustable,Single Family,OH,6.65,28,67520,269969,Investment
340561,664,387613,0.6916815412496908,25,< 1 year,Urban,Fixed,Multi Family,IL,5.79,12,51122,106926,Secondary
355098,848,481073,0.9436519888565071,15,10+ years,Rural,Fixed,Townhouse,NC,9.7,19,41883,314815,Secondary
198080,745,543277,0.6426575764262457,30,10+ years,Urban,Fixed,Condo,IL,6.74,39,95415,334376,Primary
209399,781,557126,0.8460598485089379,20,< 1 year,Rural,Fixed,Single Family,TX,8.24,19,69778,128954,Primary
204842,755,344881,0.6994502424956256,20,3-5 years,Urban,Adjustable,Single Family,MI,7.63,18,43014,225400,Investment
487524,713,573634,0.9581024875159327,40,10+ years,Rural,Adjustable,Townhouse,FL,3.3,17,78959,253564,Secondary
349386,753,264366,0.5048492015276824,15,1-3 years,Urban,Fixed,Multi Family,MI,9.89,44,74428,152493,Primary
110841,713,201510,0.6693924529142786,30,< 1 year,Rural,Fixed,Single Family,NY,4.83,30,48050,331666,Investment
226343,786,541954,0.7111168741364885,30,< 1 year,Rural,Adjustable,Townhouse,GA,5.15,12,57609,170522,Investment
234589,819,531869,0.8136001091878514,30,5-10 years,Urban,Fixed,Single Family,NC,5.11,29,46339,285299,Secondary
156520,716,541240,0.959942119132325,15,10+ years,Rural,Adjustable,Townhouse,IL,8.38,30,10253,331834,Primary
363790,704,427435,0.5760498876813269,25,5-10 years,Suburban,Fixed,Townhouse,OH,5.63,38,26466,164246,Primary
352952,705,497675,0.5034371652412581,40,10+ years,Urban,Fixed,Townhouse,NC,1.6,20,23089,109178,Secondary
326152,689,371537,0.6065219234343071,20,5-10 years,Suburban,Fixed,Single Family,PA,6.81,11,38005,301768,Secondary
455406,806,512210,0.5366117202898402,20,< 1 year,Urban,Fixed,Multi Family,NC,9.13,35,72282,312884,Investment
226022,706,392877,0.8929468168531918,25,10+ years,Rural,Fixed,Condo,NY,7.16,32,79432,108655,Investment
430032,750,659934,0.754010633064611,15,5-10 years,Rural,Fixed,Townhouse,TX,7.14,36,89938,224885,Primary
199835,722,257954,0.9432803467574193,25,3-5 years,Suburban,Fixed,Single Family,NY,5.85,20,20625,273099,Secondary
328139,733,455935,0.6819652783313148,30,10+ years,Suburban,Fixed,Single Family,NC,6.48,31,87371,198977,Primary
408492,829,277183,0.9361092745608751,30,1-3 years,Urban,Adjustable,Townhouse,NC,6.49,10,89788,335468,Investment
328742,749,676304,0.7745528782276814,40,5-10 years,Suburban,Adjustable,Single Family,TX,2.2,16,29866,131022,Primary
109789,776,590817,0.8133786023000982,15,3-5 years,Suburban,Fixed,Multi Family,IL,10.0,35,33464,169424,Investment
233851,785,393882,0.5774667929419784,20,5-10 years,Suburban,Adjustable,Townhouse,NY,7.24,35,26607,195250,Primary
342205,723,540556,0.6134618858356868,15,< 1 year,Urban,Adjustable,Townhouse,NY,6.91,34,69161,115630,Primary
141168,697,490833,0.6263439848187423,20,< 1 year,Rural,Adjustable,Townhouse,NY,5.92,44,66357,197777,Investment
182245,675,499842,0.5420877888359679,25,1-3 years,Urban,Fixed,Townhouse,FL,4.43,39,33277,200508,Secondary
279754,715,547270,0.69721783149021,30,3-5 years,Urban,Adjustable,Condo,OH,5.8,22,34652,183885,Primary
206775,782,404539,0.9530494180277376,20,1-3 years,Rural,Adjustable,Townhouse,MI,7.13,34,51265,197557,Investment
159710,743,650827,0.8301812806185918,20,< 1 year,Suburban,Fixed,Condo,FL,6.95,43,70133,116460,Investment
433452,743,319827,0.7301692665793087,20,5-10 years,Urban,Adjustable,Multi Family,FL,7.67,25,59659,223277,Primary
125584,844,287773,0.9602830755527304,25,< 1 year,Urban,Fixed,Single Family,NC,6.46,31,96719,318482,Secondary
140016,693,269882,0.6162130023542984,30,< 1 year,Rural,Adjustable,Multi Family,MI,5.59,37,60084,272222,Secondary
208919,814,455220,0.8917540688520802,40,10+ years,Rural,Fixed,Multi Family,CA,4.36,17,77379,283614,Primary
254990,805,231526,0.7483092399769553,30,1-3 years,Rural,Adjustable,Multi Family,TX,7.37,38,32122,307186,Secondary
132784,835,286815,0.7125565127219118,15,5-10 years,Urban,Adjustable,Multi Family,IL,9.92,17,98327,163111,Investment
247574,815,594749,0.6902318737475848,30,10+ years,Suburban,Adjustable,Single Family,CA,5.29,25,68508,174777,Investment
375024,751,355619,0.6708284017266324,15,3-5 years,Rural,Fixed,Condo,OH,7.2,17,85621,291793,Primary
407553,757,416847,0.7645377060553906,20,3-5 years,Urban,Adjustable,Condo,OH,8.44,36,52472,182140,Investment
384784,774,512190,0.9383353029691246,30,< 1 year,Suburban,Adjustable,Townhouse,NC,6.06,20,16857,157445,Secondary
373931,653,417715,0.9978678599601352,25,1-3 years,Urban,Adjustable,Condo,TX,5.41,19,55280,292719,Investment
252765,804,219949,0.882529063138989,40,3-5 years,Rural,Fixed,Condo,IL,2.53,10,87298,302538,Investment
437379,655,666131,0.7308319197197735,20,5-10 years,Rural,Fixed,Multi Family,TX,7.22,11,60221,139317,Investment
498478,771,441409,0.5312239581878389,40,< 1 year,Suburban,Adjustable,Condo,PA,4.48,44,56429,171789,Primary
268261,654,462121,0.5474825750353806,15,< 1 year,Urban,Fixed,Multi Family,TX,8.32,18,32702,285925,Secondary
384511,651,576804,0.7845135746805164,40,10+ years,Urban,Adjustable,Condo,NC,2.05,13,28436,103005,Primary
376589,746,407995,0.6506112669434083,20,3-5 years,Rural,Adjustable,Condo,MI,8.78,19,46665,116870,Secondary
336157,789,663908,0.9324711032208055,25,< 1 year,Urban,Fixed,Single Family,CA,8.23,37,68023,193242,Investment
423615,644,260139,0.9055178644967585,30,3-5 years,Suburban,Fixed,Condo,OH,4.73,20,80363,333396,Primary
334872,777,469628,0.7527537205907344,15,3-5 years,Urban,Adjustable,Multi Family,CA,9.92,13,56407,222705,Investment
480467,820,310585,0.9028017371017936,20,5-10 years,Rural,Adjustable,Multi Family,NY,7.61,48,20744,227407,Primary
484073,663,569137,0.986746402323918,30,1-3 years,Suburban,Adjustable,Single Family,GA,5.78,20,77399,179214,Secondary
419978,646,515141,0.6629371516913328,25,5-10 years,Urban,Fixed,Multi Family,NY,5.97,11,86114,294508,Secondary
170029,829,469134,0.9576159453272839,15,< 1 year,Rural,Adjustable,Single Family,CA,10.63,16,44286,105067,Secondary
245818,701,519888,0.76724341766143,40,< 1 year,Rural,Adjustable,Single Family,TX,3.86,44,58730,214547,Primary
346012,708,392163,0.7208427672144899,15,< 1 year,Urban,Adjustable,Townhouse,OH,6.56,33,22076,329714,Investment
280887,786,234468,0.5969049921626925,15,10+ years,Rural,Fixed,Single Family,FL,8.59,15,63282,135566,Investment
147843,842,550141,0.6313995944957154,40,< 1 year,Rural,Fixed,Condo,MI,3.66,19,11846,269175,Primary
342237,823,525017,0.9918236808119691,30,10+ years,Suburban,Fixed,Multi Family,GA,6.08,22,21885,191227,Primary
424420,643,664372,0.809560520449172,15,10+ years,Rural,Fixed,Single Family,CA,6.88,33,55441,280914,Investment
422379,723,474170,0.9938411860149614,25,1-3 years,Rural,Fixed,Multi Family,FL,5.43,28,69737,252947,Investment
122435,656,440471,0.7308008072258417,25,< 1 year,Urban,Adjustable,Single Family,CA,4.65,50,95201,319508,Secondary
210069,788,490015,0.8626421637045621,20,3-5 years,Suburban,Fixed,Single Family,TX,8.98,16,52456,279223,Primary
